900 115762
898 110 56540389
362 727 53521734
476 223 73987531
356 237 77499017
65 509 32299415
74 725 49888874
214 866 57082184
165 485 79703283
722 249 51413558
365 195 8947736
842 590 85417561
641 229 78154872
673 734 16944352
656 740 41252815
520 561 58264684
616 406 43156430
375 637 18619074
177 718 47882037
245 162 327752
126 12 4238832
423 57 76229327
139 60 7175238
169 543 49537222
425 25 10178476
511 229 55043951
425 291 9422008
753 338 64031989
265 415 8448045
166 54 58035526
513 380 18274243
584 28 71898581
838 758 59121544
126 200 88142035
458 23 84417998
781 288 18979131
225 282 22196641
875 190 724723
673 561 49366508
163 508 31815624
663 684 35386269
706 212 5996262
43 850 21756887
38 212 9146203
891 17 47833888
210 3 21734335
275 870 82719326
292 571 10189386
710 200 82917802
733 77 18651999
44 87 80981259
304 500 76846135
554 267 41367626
623 703 56202070
612 856 2323586
79 641 65236480
625 321 68561201
584 729 48830052
609 551 28543546
426 178 78948129
62 189 54805554
637 93 61186100
183 859 20756154
326 391 46243485
83 624 15151496
395 221 33406793
463 354 47838178
134 80 5899065
143 438 86511773
434 353 74179492
480 7 101230
271 136 80642807
533 689 49382013
834 250 53118055
789 772 38992819
658 540 24405831
710 343 57671809
388 623 39588619
548 655 17729740
783 564 89377620
766 19 44006161
552 227 60087409
699 395 88771311
243 745 64521424
21 116 76638212
155 864 71576222
786 208 51972846
754 579 9888309
438 776 51484177
522 624 28405833
201 590 48323603
813 287 90272646
383 428 16448197
769 730 53585556
670 77 36909095
768 885 59516916
449 33 84747747
120 749 59426503
792 503 60499406
55 570 64131353
457 89 75606548
508 87 74183390
800 431 52540126
356 78 70169459
680 849 69466733
734 430 3404882
411 111 67878085
535 531 54887109
797 876 13797071
658 470 22493715
337 122 41709309
520 599 74690475
453 510 2267043
324 492 63871494
422 590 63864836
567 420 70325089
162 476 37556352
225 87 46647352
408 766 84043864
406 370 11850726
183 828 80221037
213 405 35928943
138 499 80325534
808 319 29380550
136 391 42348130
493 830 68293908
793 286 90822898
482 757 55474098
599 433 10220340
358 551 51885599
234 355 42038531
378 791 85841398
796 17 87692880
704 619 43573161
833 718 25347893
546 415 54872724
623 203 4764973
531 665 77860331
62 470 20691407
284 224 19983151
121 232 86072798
396 251 79034673
690 444 45703867
896 388 65536353
814 35 20021466
104 283 55525136
46 411 31182331
883 770 66282467
451 22 59052324
342 388 58001594
402 694 28054787
253 433 86959175
856 424 20740071
356 201 16756294
519 455 53906665
443 118 76572165
46 836 15221592
190 304 1034381
493 765 42172691
753 612 83113382
877 363 54209225
348 428 67869077
604 329 82879305
136 602 89729803
483 477 53564925
252 262 62020639
45 408 81323823
476 475 86772700
558 56 79662380
40 830 1398071
585 471 67167617
598 120 10972583
417 758 76060165
643 250 38403405
808 360 59785016
357 801 79252980
118 362 64770982
92 889 35253189
567 831 19858970
52 119 60859026
216 719 46248764
68 453 46995632
586 149 39436719
122 438 28394916
686 190 61012980
16 120 34384123
281 257 24140359
567 479 56345720
264 227 8452525
367 181 33525349
449 62 63460937
861 262 8133748
816 776 21821544
743 839 61397759
223 662 77714230
107 240 2644550
702 571 25782275
600 192 23284113
771 620 74147591
131 753 66736139
78 19 13641245
406 210 17034794
493 10 34908373
176 622 37868525
461 614 52816060
286 552 40081535
155 63 59069188
895 171 53267585
536 544 15473495
885 677 8627177
64 321 48206682
365 722 19369064
750 746 73848878
751 199 75252058
81 662 23667903
179 281 43328971
152 26 17545186
800 265 21098468
51 410 73104990
136 414 85078765
147 157 17160156
857 508 70821064
230 466 40864137
877 437 82326417
400 283 28549159
206 500 30625653
370 841 82265310
47 332 4526976
362 547 33993136
5 135 85604307
37 739 35705249
578 869 83575939
179 737 59444348
389 368 36985243
726 72 9857313
375 47 61981151
883 357 76793670
710 433 36415674
830 788 1418331
477 256 1915042
445 4 47853722
195 148 45748730
209 1 86436172
339 579 15997060
532 547 6535842
14 384 67174727
333 770 48717201
512 479 16606990
499 133 27319397
709 596 71205036
22 553 90787780
601 405 42205767
851 281 51023091
651 58 12301452
23 344 54813203
445 800 10969580
428 476 50444395
494 692 50934651
250 635 58961532
431 703 63966538
59 870 87339684
514 190 45200076
523 652 83687834
309 864 15862944
128 725 34466003
8 145 64508490
463 624 19549175
594 39 38197174
128 523 49346367
75 280 89281765
369 184 14511413
448 744 62151854
100 467 24143459
561 253 74990698
332 12 13096488
53 339 85537354
579 796 17723652
541 660 60551154
174 104 64051724
