20 46
16 12 1061481
2 2 115810
19 3 743034
9 11 1780684
18 4 50516
16 11 478790
1 19 1546138
7 19 1889899
14 6 1802881
1 10 1699500
8 10 1454419
20 17 1743179
9 13 729965
4 4 937826
20 11 1906880
15 5 1990362
11 7 1153747
12 2 514676
14 5 1062847
7 9 207556
13 19 1740466
18 17 1363376
17 9 1663213
10 3 940149
20 2 1631686
14 11 1793571
16 10 574247
6 2 916252
11 8 1841293
1 16 194969
5 12 909705
20 5 1923749
7 12 1507010
12 1 803487
17 12 1259762
2 14 918589
5 10 1990501
6 14 873860
2 4 1844093
11 15 1586769
17 19 67120
13 4 1146835
15 12 1442696
7 3 1571086
8 13 932258
1 7 1703641
